job_title,Company_name,location,post,salary,level,experience,skills
Salesforce Developer,Megazone Vietnam Company Limited,"Tầng 27 tòa Đông, Lotte Center Hà Nội, 54 Liễu Giai, Phường Cống Vị, Quận Ba Đình, Thành phố Hà Nội",Đăng 21 giờ trước,,"Middle,Senior,In Office",3 năm,"JavaScript,HTML & CSS,Salesforce"
Fullstack Engineer  (フルスタックエンジニア),FAVOLIST5 ASIA,"29 Nguyễn Bá Lân, Phường Thảo Điền, Thành phố Thủ Đức, Thành phố Hồ Chí Minh",Đăng 7 giờ trước,,"Middle,Senior,In Office",5 năm,"JavaScript,NodeJS,VueJS"
"Automotive Software Engineer (C/C++, Linux) - Hybrid Working & Up to $2200",LG Electronics R&D Vietnam,"Tầng 32 & 34, tòa nhà Keangnam Landmark 72, Phạm Hùng, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội",Đăng 21 giờ trước,,"Junior,Middle,Senior",1 năm,"Linux,OOP,C/C++"
Business Analyst,MenuWise,"., Phường Dịch Vọng, Quận Cầu Giấy, Thành phố Hà Nội",Đăng 21 giờ trước,,"Middle,Senior,In Office",3 năm,"QA,Business Analyst"
[Khối Ngân hàng số] Data Engineer,Ngân hàng TMCP An Bình (ABBANK),"36 Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Thành phố Hà Nội",Đăng 21 giờ trước,,"Senior,In Office,Fulltime",10 năm,"Python,Scala,Data Engineer,PostgreSql,Data Warehouse"
System Admin (Linux),Công Ty Cổ Phần Giải Pháp Và Công Nghệ Vietnix,"265 Hồng Lạc, Phường 10, Quận Tân Bình, Thành phố Hồ Chí Minh",Đăng 12 giờ trước,,"In Office,Fulltime",Fresher,"Linux,System Admin,SQL Server"
[DI6] Senior Tester (Automation/Manual) – MSB - 1Y561,Ngân hàng TMCP Hàng Hải Việt Nam (MSB),"TNR Tower, Số 54A Nguyễn Chí Thanh, Phường Láng Thượng, Quận Đống Đa, Thành phố Hà Nội",Đăng 21 giờ trước,,"Senior,In Office,Fulltime",3 năm,"Tester,Database,Automation Tester,Manual Test,Mobile Tester"
Business Analyst (Korean speaking),Megazone Vietnam Company Limited,"Tầng 27 tòa Đông, Lotte Center Hà Nội, 54 Liễu Giai, Phường Cống Vị, Quận Ba Đình, Thành phố Hà Nội",Đăng 21 giờ trước,,"Senior,In Office,Fulltime",5 năm,"Business Analyst,IT Comtor,Korean"
"Software Engineer (C#, .Net, Angular, English)",CÔNG TY TNHH MITEK VIỆT NAM,"Tòa Nhà A5, Lô số A5, Khu E-Office, Đường Sáng Tạo, KCX Tân Thuận, Phường Tân Thuận Đông, Quận 7, Thành phố Hồ Chí Minh",Đăng 7 giờ trước,,"Middle,In Office,Fulltime",5 năm,"C#,.NET,Angular"
SENIOR BUSINESS ANALYST,New Ocean IS,"51 Hoàng Việt, Phường 04, Quận Tân Bình, Thành phố Hồ Chí Minh",Đăng 21 giờ trước,,"Senior,In Office,Fulltime",3 năm,"English,Business Analyst"
Project Manager,BSS Group,"Tầng 14, 16, 18, 19 & 20, Viwaseen Tower, số 48 Tố Hữu, Phường Trung Văn, Quận Nam Từ Liêm, Thành phố Hà Nội",Đăng 9 giờ trước,,"Junior,Middle,Senior",1 năm,"Project Manager,PMP"
"FRONT-END DEVELOPER - UI (HTML, CSS, JavaScript)",Chi Thanh Technology,"Lầu 5, Toà nhà HHM, 157-159 Xuân Hồng, Phường 12, Quận Tân Bình, Thành phố Hồ Chí Minh",Đăng 12 giờ trước,,"Junior,Middle,In Office",06 tháng,"JavaScript,Front-End,HTML & CSS"
[DI6] SENIOR DATA ENGINEER (SQL) – MSB - 1Y565,Ngân hàng TMCP Hàng Hải Việt Nam (MSB),"TNR Tower, Số 54A Nguyễn Chí Thanh, Phường Láng Thượng, Quận Đống Đa, Thành phố Hà Nội",Đăng 21 giờ trước,,"Senior,In Office,Fulltime",4 năm,"Oracle,SQL,Python,Data Engineer,Kafka"
Data Engineer (DBA),LG CNS Việt Nam,"Tầng 15, tòa Keangnam Landmark 72, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội",Đăng 12 giờ trước,,"Junior,Middle,Senior",06 tháng,"Oracle,SQL,Database,Data Engineer,Database Administrator"
Full-stack Developer,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ CÔNG NGHỆ JU YOU,"Lầu 1, Toà nhà Halo, Số 677/7 Điện Biên Phủ, Phường 25, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh",Đăng 11 giờ trước,,"Senior,In Office,Fulltime",8 năm,"Java,Full-Stack,VueJS"
[Fresher- Junior] QA Tester (English),HOIIO,"6F, 40 Phạm Ngọc Thạch, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh",Đăng 21 giờ trước,,"Fresher,Junior,In Office",06 tháng,"QA,Tester,English"
[Khối Ngân hàng số] QA/QC Data,Ngân hàng TMCP An Bình (ABBANK),"Quận Đống Đa, Hà Nội",,,"Middle, Senior",,"QA,QC,SQL Server,QA/QC,Data Warehouse"
[Khối Ngân hàng số] Data Engineer,Ngân hàng TMCP An Bình (ABBANK),"Quận Đống Đa, Hà Nội",,,Senior,,"Python,Scala,Data Engineer,PostgreSql,Data Warehouse"
[DI6] SENIOR DATA ENGINEER – MSB - 1Y565,Ngân hàng TMCP Hàng Hải Việt Nam (MSB),"Quận Đống Đa, Hà Nội",,,Senior,,"Data Engineer,Spark,Data Warehouse"
,,,,,,,
"[DI6] Solution Architect (Aws, Java)- MSB - 1Y564",Ngân hàng TMCP Hàng Hải Việt Nam (MSB),"Quận Đống Đa, Hà Nội",,,"Junior, Senior",,"Java,Python,AWS,Business Intelligence,Solution Architect"
[DI6] IT Business Analyst - MSB - 1Y563,Ngân hàng TMCP Hàng Hải Việt Nam (MSB),"Quận Đống Đa, Hà Nội",,,"Middle, Senior",,"Oracle,MySQL,Data Analytics,API,Business Analyst"
Senior Product Owner (Business Analyst),One Mount Group,"Quận Hai Bà Trưng, Hà Nội",,,Senior,,"Product Owner,Business Analyst"
Chuyên viên Phân tích nghiệp vụ (BA) – Mã vị trí NHS02 (số lượng 05),BIDV - Trung tâm Phát triển ngân hàng số,"Quận Hai Bà Trưng, Hà Nội",,,"Junior, Middle, Senior",,"Fintech,Business Analyst,Core Banking"
Business Analyst - Chuyên Gia Phân Tích Nghiệp Vụ Hệ Thống CLIMS,Ngân hàng TMCP An Bình (ABBANK),"Quận Đống Đa, Hà Nội",,,"Middle, Senior",,"Tester,Business Analyst,Analyst"
,,,,,,,
Business Analyst (Korean speaking),Megazone Vietnam Company Limited,"Quận Ba Đình, Hà Nội",,,Senior,,"Business Analyst,IT Comtor,Korean"
Business Analyst,MenuWise,"Quận Cầu Giấy, Hà Nội",,,"Middle, Senior",,"QA,Business Analyst"
SENIOR BUSINESS ANALYST,New Ocean IS,"Quận Tân Bình, Hồ Chí Minh",,,Senior,,"English,Business Analyst"
Chuyên viên Phân tích nghiệp vụ (BA),Công ty Dịch vụ Số Bưu điện (Vietnam Post Digital),"Quận Nam Từ Liêm, Hà Nội",,,Middle,,Business Analyst
TRUNG TÂM ĐỔI MỚI SÁNG TẠO - BUSINESS ANALYST LEAD,Tổng Công ty Bưu điện Việt Nam (Vietnam Post),"Quận Nam Từ Liêm, Hà Nội",,,Trưởng Nhóm,,Business Analyst
BUSINESS ANALYST,CÔNG TY TNHH CÁC GIẢI PHÁP SOFTEL,"Quận Đống Đa, Hà Nội",,,Senior,,"MySQL,Data Analytics,Business Analyst"
HN - Business Analyst (CLIMS) TS052303-BAHN,Talent Success, Hà Nội,,,"Trưởng Nhóm, Middle, Senior",,Business Analyst
Kỹ sư giải pháp nghiệp vụ  (Senior/Leader Software Engineer),Viettel Solutions,"Quận Nam Từ Liêm, Hà Nội",,,"Trưởng Nhóm, Senior",,"UML,Business Analyst,System Architect"
CBA (IT Comtor & Business Analyst),OneTech Asia,"Quận Tân Bình, Hồ Chí Minh",,,"Middle, Senior",,"Business Analyst,IT Comtor"
IT Business Analyst,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ CÔNG NGHỆ JU YOU,"Quận Bình Thạnh, Hồ Chí Minh",,,Senior,,"Business Analyst,Axure Rp"
Salesforce Developer,Megazone Vietnam Company Limited,"Quận Ba Đình, Hà Nội",,,"Middle, Senior",,"JavaScript,HTML & CSS,Salesforce"
05 PHP Developers,CÔNG TY TNHH CYLLENGE VIỆT NAM,"Quận Tân Bình, Hồ Chí Minh",,,"Junior, Middle",,"PHP,JavaScript,HTML & CSS"
Frontend Software Engineer (.Net/ Angular/HTML),"Motorola Solutions, VietNam R&D Center","Thành phố Thủ Đức, Hồ Chí Minh",,,"Middle, Senior",,".NET,HTML & CSS,Angular"
